Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2014;LICENCE PRO;0660437S;Perpignan;A11;Montpellier;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;34;61;21;83;ns;ns;ns;ns;ns;25.00;11.2;1780;ns;40;54;1400;2110;Perpignan_18;disc07_18
2014;LICENCE PRO;0660437S;Perpignan;A11;Montpellier;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;25;68;15;ns;ns;ns;ns;ns;ns;25.00;11.2;1780;ns;ns;ns;1400;2110;Perpignan_30;disc13_30
2014;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;6;91;2;ns;ns;ns;ns;ns;ns;8.00;9.4;1800;ns;ns;ns;1430;2130;Strasbourg_18;disc02_18
2014;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;55;67;18;100;33;93;100;1780;27800;8.00;9.4;1800;14;10;64;1430;2130;Strasbourg_30;disc04_30
2014;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;10;73;3;ns;ns;ns;ns;ns;ns;8.00;9.4;1800;ns;ns;ns;1430;2130;Strasbourg_30;disc13_30
2014;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;56;76;17;91;75;82;98;ns;ns;8.00;9.4;1800;17;13;19;1430;2130;Strasbourg_30;disc16_30
2014;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;17;72;5;ns;ns;ns;ns;ns;ns;8.00;9.4;1800;ns;ns;ns;1430;2130;Strasbourg_18;disc17_18
2014;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;25;67;11;ns;ns;ns;ns;ns;ns;15.00;9.4;1800;ns;ns;ns;1430;2130;Mulhouse - Haute Alsace_18;disc03_18
2014;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;49;70;20;80;34;68;89;ns;ns;15.00;9.4;1800;13;50;74;1430;2130;Mulhouse - Haute Alsace_18;disc07_18
2014;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;40;67;17;83;ns;72;ns;ns;ns;15.00;9.4;1800;ns;54;70;1430;2130;Mulhouse - Haute Alsace_18;disc10_18
2014;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;9;85;3;ns;ns;ns;ns;ns;ns;15.00;9.4;1800;ns;ns;ns;1430;2130;Mulhouse - Haute Alsace_30;disc11_30
