Annee;Diplôme;Numéro de l'établissement;Etablissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux d'insertion;% emplois stables;% emplois à  temps plein;Salaire brut annuel estimé;% de diplômés boursiers;% emplois cadre;% emplois extérieurs à  la région de l'université;% femmes;cle_ETAB;cle_DISC
2014;MASTER LMD;0350936C;Rennes 1;A14;Rennes;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;77;45;91;26400;31.00;35;29;62;Rennes 1_30;disc13_30
2014;MASTER LMD;0350936C;Rennes 1;A14;Rennes;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;63;32;91;24200;31.00;35;29;62;Rennes 1_18;disc13_18
2012;MASTER LMD;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;90;79;98;32400;11.00;35;29;70;Versailles Saint-Quentin-en-Yvelines_30;disc04_30
2012;MASTER LMD;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;93;66;98;30100;11.00;35;29;70;Versailles Saint-Quentin-en-Yvelines_18;disc04_18
2012;MASTER LMD;0211237F;Dijon - Bourgogne;A07;Dijon;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;84;38;79;22200;47.00;35;29;80;Dijon - Bourgogne_18;disc07_18
2012;MASTER LMD;0211237F;Dijon - Bourgogne;A07;Dijon;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;87;50;83;23400;47.00;35;29;80;Dijon - Bourgogne_30;disc07_30
2014;MASTER LMD;0171463Y;La Rochelle;A13;Poitiers;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;90;68;95;29300;51.00;35;29;25;La Rochelle_18;disc12_18
2014;MASTER LMD;0171463Y;La Rochelle;A13;Poitiers;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;94;86;97;30700;51.00;35;29;25;La Rochelle_30;disc12_30
2014;MASTER LMD;0593560Z;Lille 2 - Droit et santé;A09;Lille;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;92;77;99;28300;22.00;35;29;69;Lille 2 - Droit et santé_30;disc02_30
2014;MASTER LMD;0593560Z;Lille 2 - Droit et santé;A09;Lille;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;88;63;99;25700;22.00;35;29;69;Lille 2 - Droit et santé_18;disc02_18
